generation	phenotype
10000	-0.371941
10000	-4.03471
10000	-2.00743
10000	-3.77348
10000	2.15046
10000	-1.50256
10000	19.6365
10000	-6.72899
10000	-4.08957
10000	-8.84877
10000	-4.74825
10000	1.47388
10000	3.08738
10000	-2.36602
10000	7.32839
10000	5.17015
10000	2.78466
10000	10.4895
10000	-8.70913
10000	2.25362
10000	5.64911
10000	-0.629573
10000	-2.59127
10000	5.60639
10000	-2.19588
10000	-7.3298
10000	-6.01851
10000	-12.3309
10000	-7.34599
10000	-6.56295
10000	-4.92733
10000	1.86543
10000	2.01141
10000	-9.15133
10000	2.96754
10000	-10.0703
10000	1.48709
10000	-15.278
10000	-19.4822
10000	3.97891
10000	3.33903
10000	-9.66895
10000	4.6707
10000	0.139395
10000	-1.79189
10000	-0.798565
10000	-2.2518
10000	3.6453
10000	-8.66881
10000	-7.23601
10000	-3.09123
10000	10.334
10000	6.18692
10000	13.4113
10000	3.11574
10000	-20.3475
10000	3.97193
10000	7.58568
10000	2.44363
10000	-14.8698
10000	5.58752
10000	-6.68443
10000	1.09737
10000	7.19336
10000	-9.74219
10000	-11.4845
10000	-0.289125
10000	-1.40285
10000	-7.52882
10000	-8.27669
10000	-13.0967
10000	-5.16466
10000	-0.511167
10000	-10.3828
10000	13.4615
10000	1.12567
10000	2.84849
10000	-11.7276
10000	2.14531
10000	4.08461
10000	12.2768
10000	-3.94325
10000	-2.94175
10000	-13.821
10000	-6.85903
10000	13.0642
10000	-4.08847
10000	-5.368
10000	-10.2435
10000	0.383173
10000	8.99598
10000	5.22314
10000	-11.7304
10000	-4.13371
10000	8.14849
10000	0.529094
10000	9.8016
10000	3.03257
10000	2.19574
10000	-0.777683
10000	-4.27559
10000	-5.21994
10000	8.76868
10000	-1.565
10000	7.51674
10000	0.955517
10000	-1.29385
10000	-5.27274
10000	-7.50088
10000	-0.00382074
10000	-5.89869
10000	-3.92102
10000	-5.4951
10000	2.82734
10000	-12.0345
10000	0.675001
10000	-9.07142
10000	5.94738
10000	3.23253
10000	1.04112
10000	-17.8366
10000	10.1082
10000	-4.03989
10000	-15.1596
10000	5.60126
10000	-1.33471
10000	6.85478
10000	-1.63615
10000	-3.17312
10000	-16.5129
10000	-6.23523
10000	7.89656
10000	2.41071
10000	-11.2041
10000	13.3237
10000	-20.2055
10000	-2.75717
10000	-4.82894
10000	12.3031
10000	14.989
10000	9.05174
10000	-6.89528
10000	-13.8257
10000	-6.57826
10000	-1.9926
10000	-8.25381
10000	5.58219
10000	-4.38463
10000	-1.91843
10000	10.4981
10000	-14.1645
10000	9.53183
10000	1.55197
10000	0.464245
10000	12.2376
10000	-0.710644
10000	-2.46343
10000	-9.86201
10000	4.48474
10000	19.1174
10000	-12.4997
10000	7.5564
10000	3.94801
10000	3.38199
10000	-8.6897
10000	-3.52644
10000	1.8107
10000	-1.86863
10000	-3.82795
10000	-9.63341
10000	-6.44378
10000	-16.9949
10000	-11.2483
10000	1.15865
10000	-3.24284
10000	-11.5159
10000	-4.14844
10000	23.2747
10000	3.20044
10000	14.1777
10000	1.1192
10000	4.2645
10000	-7.31027
10000	-19.8826
10000	1.73166
10000	-8.6086
10000	9.01015
10000	8.83505
10000	-0.504674
10000	6.1969
10000	8.2387
10000	9.18914
10000	6.05858
10000	-19.5863
10000	-11.9399
10000	14.8003
10000	5.29345
10000	-6.54165
10000	-1.73305
10000	-5.86922
10000	-22.1008
10000	2.97619
10000	-11.5553
10000	-0.612737
10000	-9.78852
10000	-12.5986
10000	-0.62134
10000	-3.88241
10000	0.458185
10000	-2.25382
10000	-8.63709
10000	-7.24227
10000	8.72445
10000	-6.00385
10000	-0.565317
10000	0.386792
10000	-12.6792
10000	-18.1543
10000	6.15936
10000	4.04646
10000	-10.7281
10000	5.02018
10000	16.6898
10000	-12.1699
10000	-18.0018
10000	-0.369206
10000	6.72963
10000	3.56071
10000	11.6413
10000	-10.2005
10000	3.17525
10000	-14.3331
10000	-6.80144
10000	3.22915
10000	-14.5545
10000	4.42073
10000	-0.847114
10000	4.06936
10000	4.59594
10000	3.08673
10000	-4.68345
10000	-11.07
10000	8.43282
10000	2.8344
10000	-1.91902
10000	-5.63891
10000	2.93707
10000	-18.4416
10000	3.42709
10000	-3.25401
10000	-5.73033
10000	0.382357
10000	-5.66613
10000	-6.37794
10000	-3.05567
10000	-7.27437
10000	-4.30677
10000	-9.70006
10000	-4.64258
10000	-1.80222
10000	0.172768
10000	-3.58379
10000	1.62448
10000	1.61636
10000	-0.0846624
10000	-13.844
10000	-13.9162
10000	-1.0988
10000	-9.03628
10000	2.4003
10000	9.14702
10000	-15.0628
10000	11.9612
10000	1.87748
10000	-8.4727
10000	-21.2131
10000	13.8275
10000	-12.2598
10000	-8.33506
10000	-16.7806
10000	5.04846
10000	-11.6726
10000	-3.67551
10000	-5.5159
10000	-0.534628
10000	-4.37736
10000	-13.6814
10000	8.26971
10000	-25.8646
10000	-4.89601
10000	-1.51842
10000	16.9435
10000	-19.6437
10000	-0.909557
10000	1.01466
10000	-13.0203
